time_s,T_center,T_surface,C_center,C_surface
381,28.1030,29.1898,2.5500,1.9964
382,28.1040,29.1941,2.5500,1.9958
383,28.1050,29.1984,2.5500,1.9951
384,28.1060,29.2027,2.5500,1.9945
385,28.1070,29.2070,2.5500,1.9939
386,28.1080,29.2114,2.5500,1.9932
387,28.1090,29.2157,2.5500,1.9926
388,28.1100,29.2201,2.5500,1.9920
389,28.1110,29.2244,2.5500,1.9914
390,28.1120,29.2288,2.5500,1.9907
391,28.1131,29.2331,2.5500,1.9901
392,28.1141,29.2375,2.5500,1.9895
393,28.1152,29.2418,2.5500,1.9889
394,28.1162,29.2462,2.5500,1.9882
395,28.1173,29.2506,2.5500,1.9876
396,28.1183,29.2550,2.5500,1.9870
397,28.1194,29.2593,2.5500,1.9864
398,28.1204,29.2637,2.5500,1.9858
399,28.1215,29.2681,2.5500,1.9851
400,28.1226,29.2725,2.5500,1.9845
401,28.1237,29.2769,2.5500,1.9839
402,28.1248,29.2813,2.5500,1.9833
403,28.1259,29.2857,2.5500,1.9827
404,28.1270,29.2901,2.5500,1.9821
405,28.1281,29.2945,2.5500,1.9815
406,28.1292,29.2990,2.5500,1.9809
407,28.1303,29.3034,2.5500,1.9803
408,28.1314,29.3078,2.5500,1.9796
409,28.1326,29.3123,2.5500,1.9790
410,28.1337,29.3167,2.5500,1.9784
411,28.1349,29.3211,2.5500,1.9778
412,28.1360,29.3256,2.5500,1.9772
413,28.1372,29.3300,2.5500,1.9766
414,28.1383,29.3345,2.5500,1.9760
415,28.1395,29.3389,2.5500,1.9754
416,28.1407,29.3434,2.5500,1.9748
417,28.1418,29.3479,2.5500,1.9742
418,28.1430,29.3523,2.5500,1.9736
419,28.1442,29.3568,2.5500,1.9730
420,28.1454,29.3613,2.5500,1.9724
421,28.1466,29.3657,2.5500,1.9718
422,28.1478,29.3700,2.5500,1.9712
423,28.1490,29.3743,2.5500,1.9706
424,28.1502,29.3786,2.5500,1.9701
425,28.1515,29.3828,2.5500,1.9695
426,28.1527,29.3871,2.5500,1.9689
427,28.1539,29.3913,2.5500,1.9683
428,28.1552,29.3955,2.5500,1.9677
429,28.1564,29.3996,2.5500,1.9671
430,28.1577,29.4038,2.5500,1.9665
431,28.1589,29.4080,2.5500,1.9659
432,28.1602,29.4121,2.5500,1.9653
433,28.1615,29.4162,2.5500,1.9648
434,28.1628,29.4203,2.5500,1.9642
435,28.1640,29.4244,2.5500,1.9636
436,28.1653,29.4285,2.5500,1.9630
437,28.1666,29.4326,2.5500,1.9624
438,28.1679,29.4367,2.5500,1.9618
439,28.1692,29.4407,2.5500,1.9613
440,28.1705,29.4448,2.5500,1.9607
441,28.1719,29.4488,2.5500,1.9601
442,28.1732,29.4529,2.5500,1.9595
443,28.1745,29.4569,2.5500,1.9590
444,28.1758,29.4609,2.5500,1.9584
445,28.1772,29.4649,2.5500,1.9578
446,28.1785,29.4690,2.5500,1.9572
447,28.1799,29.4730,2.5500,1.9567
448,28.1812,29.4770,2.5500,1.9561
449,28.1826,29.4810,2.5500,1.9555
450,28.1840,29.4849,2.5500,1.9550
451,28.1854,29.4889,2.5500,1.9544
452,28.1867,29.4929,2.5500,1.9538
453,28.1881,29.4969,2.5500,1.9532
454,28.1895,29.5008,2.5500,1.9527
455,28.1909,29.5048,2.5500,1.9521
456,28.1923,29.5087,2.5500,1.9515
457,28.1937,29.5127,2.5500,1.9510
458,28.1952,29.5166,2.5500,1.9504
459,28.1966,29.5206,2.5500,1.9499
460,28.1980,29.5245,2.5500,1.9493
461,28.1994,29.5285,2.5500,1.9487
462,28.2009,29.5324,2.5500,1.9482
463,28.2023,29.5363,2.5500,1.9476
464,28.2038,29.5402,2.5500,1.9471
465,28.2052,29.5442,2.5500,1.9465
466,28.2067,29.5481,2.5500,1.9459
467,28.2082,29.5520,2.5500,1.9454
468,28.2097,29.5559,2.5500,1.9448
469,28.2111,29.5598,2.5500,1.9443
470,28.2126,29.5637,2.5500,1.9437
471,28.2141,29.5676,2.5500,1.9432
472,28.2156,29.5715,2.5500,1.9426
473,28.2171,29.5754,2.5500,1.9421
474,28.2186,29.5793,2.5500,1.9415
475,28.2201,29.5831,2.5500,1.9410
476,28.2217,29.5870,2.5500,1.9404
477,28.2232,29.5909,2.5500,1.9399
478,28.2247,29.5948,2.5500,1.9393
479,28.2263,29.5987,2.5500,1.9388
480,28.2278,29.6025,2.5500,1.9382
481,28.2294,29.6065,2.5500,1.9377
482,28.2309,29.6106,2.5500,1.9371
483,28.2325,29.6147,2.5500,1.9366
484,28.2341,29.6188,2.5500,1.9360
485,28.2356,29.6230,2.5500,1.9355
486,28.2372,29.6273,2.5500,1.9349
487,28.2388,29.6315,2.5500,1.9344
488,28.2404,29.6358,2.5500,1.9339
489,28.2420,29.6401,2.5500,1.9333
490,28.2436,29.6444,2.5500,1.9328
491,28.2452,29.6488,2.5500,1.9322
492,28.2468,29.6532,2.5500,1.9317
493,28.2484,29.6576,2.5500,1.9312
494,28.2501,29.6620,2.5500,1.9306
495,28.2517,29.6664,2.5500,1.9301
496,28.2533,29.6709,2.5500,1.9296
497,28.2550,29.6753,2.5500,1.9290
498,28.2566,29.6798,2.5500,1.9285
499,28.2583,29.6843,2.5500,1.9280
500,28.2599,29.6888,2.5500,1.9274
501,28.2616,29.6933,2.5500,1.9269
502,28.2633,29.6979,2.5500,1.9264
503,28.2650,29.7024,2.5500,1.9258
504,28.2666,29.7070,2.5500,1.9253
505,28.2683,29.7116,2.5500,1.9248
506,28.2700,29.7161,2.5500,1.9243
