t_h,dT_K
12.1000,-0.007885
12.1167,-0.007857
12.1333,-0.007830
12.1500,-0.007803
12.1667,-0.007775
12.1833,-0.007749
12.2000,-0.007722
12.2167,-0.007695
12.2333,-0.007669
12.2500,-0.007642
12.2667,-0.007616
12.2833,-0.007589
12.3000,-0.007563
12.3167,-0.007536
12.3333,-0.007511
12.3500,-0.007485
12.3667,-0.007459
12.3833,-0.007433
12.4000,-0.007408
12.4167,-0.007382
12.4333,-0.007356
12.4500,-0.007331
12.4667,-0.007306
12.4833,-0.007281
12.5000,-0.007256
12.5167,-0.007231
12.5333,-0.007207
12.5500,-0.007181
12.5667,-0.007157
12.5833,-0.007133
12.6000,-0.007108
12.6167,-0.007084
12.6333,-0.007059
12.6500,-0.007035
12.6667,-0.007012
12.6833,-0.006987
12.7000,-0.006964
12.7167,-0.006940
12.7333,-0.006916
12.7500,-0.006893
12.7667,-0.006870
12.7833,-0.006846
12.8000,-0.006823
12.8167,-0.006800
12.8333,-0.006776
12.8500,-0.006753
12.8667,-0.006731
12.8833,-0.006708
12.9000,-0.006685
12.9167,-0.006662
12.9333,-0.006640
12.9500,-0.006618
12.9667,-0.006596
12.9833,-0.006574
13.0000,-0.006551
13.0167,-0.006529
13.0333,-0.006508
13.0500,-0.006486
13.0667,-0.006463
13.0833,-0.006442
13.1000,-0.006421
13.1167,-0.006398
13.1333,-0.006377
13.1500,-0.006356
13.1667,-0.006335
13.1833,-0.006313
13.2000,-0.006292
13.2167,-0.006272
13.2333,-0.006250
13.2500,-0.006230
13.2667,-0.006209
13.2833,-0.006188
13.3000,-0.006167
13.3167,-0.006147
13.3333,-0.006127
13.3500,-0.006106
13.3667,-0.006086
13.3833,-0.006066
13.4000,-0.006045
13.4167,-0.006026
13.4333,-0.006006
13.4500,-0.005986
13.4667,-0.005966
13.4833,-0.005946
13.5000,-0.005927
13.5167,-0.005907
13.5333,-0.005888
13.5500,-0.005868
13.5667,-0.005848
13.5833,-0.005829
13.6000,-0.005809
13.6167,-0.005790
13.6333,-0.005771
13.6500,-0.005753
13.6667,-0.005733
13.6833,-0.005714
13.7000,-0.005696
13.7167,-0.005676
13.7333,-0.005658
13.7500,-0.005640
13.7667,-0.005621
13.7833,-0.005602
13.8000,-0.005584
13.8167,-0.005566
13.8333,-0.005547
13.8500,-0.005530
13.8667,-0.005512
13.8833,-0.005493
13.9000,-0.005475
13.9167,-0.005457
13.9333,-0.005440
13.9500,-0.005422
13.9667,-0.005404
13.9833,-0.005387
14.0000,-0.005369
14.0167,-0.005351
14.0333,-0.005335
14.0500,-0.005317
14.0667,-0.005300
14.0833,-0.005284
14.1000,-0.005267
14.1167,-0.005250
14.1333,-0.005232
