t_s,h_next_s
190.062226,0.013033
190.767124,0.013076
191.474434,0.013122
192.184346,0.013172
192.896858,0.013219
193.612008,0.013269
194.329988,0.013323
195.050963,0.013379
195.774832,0.013432
196.501688,0.013490
197.231720,0.013550
197.964988,0.013608
198.701360,0.013667
199.440987,0.013728
200.184030,0.013793
200.930413,0.013852
201.680080,0.013915
202.433172,0.013979
203.189826,0.014045
203.949889,0.014107
204.713355,0.014171
205.480342,0.014237
206.250964,0.014305
207.025068,0.014367
207.802621,0.014432
208.583732,0.014499
209.368496,0.014568
210.156816,0.014631
210.948595,0.014696
211.743916,0.014762
212.542868,0.014830
213.345446,0.014895
214.151467,0.014959
214.960985,0.015025
215.774076,0.015092
216.590802,0.015158
217.410994,0.015220
218.234611,0.015285
219.061721,0.015350
219.892385,0.015417
220.726575,0.015480
221.564116,0.015542
222.405047,0.015605
223.249422,0.015669
224.097289,0.015734
224.948527,0.015794
225.803044,0.015856
226.660878,0.015918
227.522073,0.015980
228.386654,0.016042
229.254449,0.016100
230.125432,0.016160
230.999638,0.016220
231.877101,0.016280
232.757808,0.016338
233.641580,0.016395
234.528435,0.016453
235.418394,0.016510
236.311491,0.016568
237.207654,0.016623
238.106748,0.016678
239.008790,0.016732
239.913815,0.016788
240.032245,0.000152
240.040643,0.000159
240.049401,0.000166
240.058541,0.000173
240.068085,0.000180
240.078052,0.000189
240.088474,0.000198
240.099376,0.000207
240.110783,0.000216
240.122724,0.000226
240.135225,0.000237
240.148319,0.000248
240.162031,0.000260
240.176400,0.000272
240.191443,0.000285
240.207190,0.000299
240.223666,0.000312
240.240899,0.000326
240.258915,0.000341
240.277733,0.000356
240.297369,0.000371
240.317843,0.000387
240.339171,0.000403
240.361363,0.000419
240.384429,0.000435
240.408374,0.000452
240.433208,0.000468
240.458931,0.000485
240.485548,0.000502
240.513060,0.000518
240.541468,0.000534
240.570771,0.000551
240.600974,0.000568
240.632075,0.000584
240.664071,0.000601
240.696962,0.000618
240.730747,0.000634
240.765427,0.000651
240.801005,0.000667
240.837483,0.000684
240.874852,0.000700
240.913112,0.000717
240.952265,0.000733
240.992314,0.000750
241.033263,0.000767
241.075107,0.000784
241.117850,0.000800
241.161487,0.000816
241.206027,0.000833
241.251466,0.000850
241.297801,0.000867
241.345039,0.000883
241.393181,0.000900
241.442225,0.000917
241.492175,0.000934
241.543033,0.000951
241.594796,0.000967
241.647460,0.000984
241.701040,0.001001
241.755529,0.001018
241.810930,0.001035
241.867240,0.001051
241.924466,0.001068
241.982607,0.001085
242.041656,0.001102
242.101628,0.001119
242.162517,0.001136
242.224321,0.001153
242.287050,0.001170
242.350694,0.001187
242.415261,0.001205
242.480752,0.001222
242.547171,0.001239
242.614512,0.001256
242.682777,0.001273
242.751971,0.001290
242.822097,0.001307
242.893150,0.001324
242.965132,0.001342
243.038047,0.001359
243.111895,0.001376
243.186675,0.001394
243.262391,0.001411
243.339047,0.001428
243.416638,0.001446
243.495163,0.001463
243.574625,0.001480
243.655034,0.001498
243.736379,0.001515
243.818670,0.001533
243.901900,0.001550
243.986082,0.001568
244.071206,0.001585
244.157276,0.001603
244.244291,0.001620
244.332258,0.001638
244.421171,0.001656
244.511035,0.001673
244.601846,0.001691
244.693614,0.001708
244.786336,0.001726
244.880011,0.001744
244.974639,0.001762
245.070227,0.001779
245.166770,0.001797
245.264270,0.001815
245.362730,0.001832
245.462147,0.001850
245.562523,0.001868
245.663850,0.001886
245.766115,0.001903
245.869311,0.001920
245.973439,0.001937
246.078499,0.001955
246.184499,0.001971
246.291426,0.001989
246.399289,0.002006
246.508089,0.002024
246.617831,0.002041
246.728509,0.002058
246.840127,0.002076
246.952687,0.002093
247.066185,0.002111
247.180627,0.002128
247.296007,0.002146
247.412330,0.002163
247.529602,0.002181
247.647817,0.002198
247.766979,0.002216
247.887087,0.002233
248.008136,0.002251
248.130138,0.002268
248.253087,0.002286
248.376982,0.002303
248.501824,0.002321
248.627624,0.002339
248.754375,0.002356
248.882075,0.002374
249.010728,0.002392
249.140334,0.002409
249.270893,0.002427
249.402411,0.002445
249.534879,0.002462
249.668301,0.002480
249.802682,0.002498
249.938025,0.002515
250.074324,0.002533
250.211576,0.002551
250.349790,0.002568
250.488962,0.002586
250.629094,0.002604
250.770187,0.002622
250.912240,0.002640
251.055256,0.002657
251.199230,0.002675
251.344168,0.002693
251.490073,0.002711
251.636936,0.002729
251.784767,0.002747
251.933565,0.002765
252.083329,0.002783
252.234057,0.002800
252.385755,0.002818
252.538412,0.002836
252.692042,0.002854
252.846641,0.002872
253.002209,0.002890
253.158747,0.002908
253.316249,0.002926
253.474725,0.002944
253.634169,0.002962
253.794588,0.002980
253.955980,0.002998
254.118337,0.003016
254.281667,0.003034
254.445969,0.003052
254.611244,0.003070
254.777491,0.003088
254.944715,0.003106
255.112913,0.003124
255.282086,0.003142
255.452232,0.003160
255.623355,0.003178
255.795449,0.003196
255.968523,0.003215
256.142575,0.003232
256.317600,0.003250
256.493601,0.003269
256.670574,0.003286
256.848504,0.003304
257.027375,0.003321
257.207193,0.003339
257.387953,0.003356
257.569660,0.003374
257.752310,0.003391
257.935912,0.003409
258.120457,0.003426
258.305950,0.003444
258.492388,0.003461
258.679771,0.003479
258.868107,0.003496
259.057391,0.003514
259.247617,0.003532
259.438794,0.003549
259.630923,0.003567
259.823995,0.003584
260.018016,0.003602
260.212992,0.003620
260.408915,0.003637
260.605783,0.003655
260.803606,0.003672
261.002379,0.003690
261.202099,0.003707
261.402764,0.003725
261.604383,0.003743
261.806957,0.003760
262.010476,0.003778
262.214946,0.003795
262.420372,0.003813
262.626742,0.003831
262.834068,0.003848
263.042343,0.003866
263.251568,0.003884
263.461748,0.003901
263.672876,0.003919
263.884959,0.003936
264.097991,0.003954
264.311972,0.003971
264.526903,0.003989
264.742791,0.004007
264.959631,0.004025
265.177423,0.004042
265.396171,0.004060
265.615863,0.004077
265.836510,0.004095
266.058108,0.004113
266.280664,0.004130
266.504166,0.004148
266.728625,0.004165
266.954034,0.004183
267.180391,0.004201
267.407682,0.004218
267.635895,0.004235
267.865028,0.004252
268.095080,0.004269
268.326048,0.004286
268.557938,0.004303
268.790749,0.004320
269.024475,0.004337
269.259123,0.004354
269.494686,0.004371
269.731172,0.004388
269.968576,0.004405
270.206900,0.004422
270.446139,0.004439
270.686299,0.004456
270.927379,0.004473
271.169379,0.004490
271.412298,0.004507
271.656136,0.004524
271.900888,0.004541
272.146564,0.004559
272.393156,0.004575
272.640670,0.004592
272.889098,0.004609
273.138449,0.004626
273.388716,0.004643
273.639907,0.004661
273.892014,0.004677
274.145038,0.004695
274.398983,0.004711
274.653845,0.004728
274.909626,0.004745
275.166322,0.004763
275.423942,0.004779
275.682475,0.004796
275.941927,0.004813
276.202298,0.004830
276.463585,0.004847
276.725788,0.004865
276.988908,0.004881
277.252949,0.004898
277.517895,0.004915
277.783729,0.004931
