t_h,dt_s,est_rel,n_accept
2.475000,30.00000000,2.838911e-05,448
2.483333,30.00000000,2.130040e-05,449
2.489079,20.68354292,4.400004e-05,450
2.494591,19.84384816,2.899131e-05,451
2.500000,19.47260891,2.246139e-05,452
2.507263,26.14768965,1.607870e-05,453
2.516667,33.85231035,1.040213e-05,454
2.520833,15.00000000,2.280439e-05,455
2.526386,19.98985136,2.670371e-05,456
2.533224,24.61791515,3.038170e-05,457
2.533333,0.39223349,9.820917e-09,458
2.533551,0.78446697,3.707905e-07,459
2.533987,1.56893395,7.878681e-07,460
2.534859,3.13786790,1.839749e-06,461
2.536602,6.27573580,4.331889e-06,462
2.540088,12.55147159,9.943356e-06,463
2.547062,25.10294318,2.241327e-05,464
2.550000,10.57858061,3.967545e-06,465
2.555877,21.15716122,2.420445e-05,466
2.563479,27.36763719,2.451231e-05,467
2.566667,11.47520159,4.292819e-06,468
2.573042,22.95040319,3.430927e-05,469
2.579968,24.93515451,2.669658e-05,470
2.583333,12.11444230,6.069217e-06,471
2.590064,24.22888461,3.040572e-05,472
2.597831,27.96296748,2.498395e-05,473
2.600000,7.80814791,2.123575e-06,474
2.604338,15.61629582,1.411607e-05,475
2.611685,26.45140047,2.090229e-05,476
2.616667,17.93230371,8.258760e-06,477
2.626629,35.86460742,5.544442e-06,478
2.633333,24.13539258,1.484195e-06,479
2.646742,48.27078515,4.161473e-06,480
2.650000,11.72921485,3.248310e-07,481
2.656516,23.45842969,3.456111e-05,482
2.663570,25.39408764,2.890435e-05,483
2.666667,11.14748266,5.541659e-06,484
2.672860,22.29496532,4.881599e-05,485
2.678501,20.30734943,2.880781e-05,486
2.683333,17.39768525,1.750891e-05,487
2.687008,13.22998582,2.275695e-05,488
2.691911,17.64939612,2.383152e-05,489
2.698302,23.00814113,2.782572e-05,490
2.700000,6.11247693,2.134028e-06,491
2.703396,12.22495386,2.777511e-06,492
2.710187,24.44990771,6.253012e-06,493
2.716667,23.32513843,4.618616e-06,494
2.723146,23.32513843,3.168647e-05,495
2.730471,26.37028441,2.720130e-05,496
2.733333,10.30457716,4.218324e-06,497
2.739058,20.60915431,1.545417e-05,498
2.748326,33.36297804,1.899183e-05,499
2.750000,6.02786765,7.553468e-07,500
2.753349,12.05573529,9.678467e-06,501
2.760046,24.11147058,2.004118e-05,502
2.766667,23.83279413,1.519154e-05,503
2.777476,38.91361607,1.935844e-05,504
2.783333,21.08638393,4.632362e-06,505
2.789191,21.08638393,2.286082e-05,506
2.796987,28.06620376,2.695214e-05,507
2.800000,10.84741231,4.103426e-06,508
2.806026,21.69482462,3.611457e-05,509
2.812408,22.97430608,2.691504e-05,510
2.816667,15.33086930,1.061233e-05,511
2.820826,14.97472844,2.451040e-05,512
2.826173,19.24913772,2.464058e-05,513
2.833028,24.67818983,2.847718e-05,514
2.833333,1.09794400,6.995995e-08,515
2.833943,2.19588801,1.140599e-06,516
2.835163,4.39177601,2.241731e-06,517
2.837603,8.78355203,4.751655e-06,518
2.842483,17.56710406,1.004245e-05,519
2.850000,27.06167989,1.441844e-05,520
2.862599,45.35477979,3.561416e-05,521
2.866667,14.64522021,3.872892e-06,522
2.870735,14.64522021,2.005807e-05,523
2.876515,20.81032604,2.482137e-05,524
2.883333,24.54445374,2.568109e-05,525
2.887614,15.41147423,2.955529e-05,526
2.892626,18.04072802,2.587810e-05,527
2.898895,22.56916020,2.897319e-05,528
2.900000,3.97863755,1.022600e-06,529
2.902210,7.95727510,3.230338e-06,530
2.906631,15.91455020,3.696936e-06,531
2.915472,31.82910041,7.031382e-06,532
2.916667,4.29907428,1.586041e-07,533
2.919055,8.59814857,6.109397e-06,534
2.923832,17.19629714,1.342582e-05,535
2.932128,29.86703319,2.528697e-05,536
2.933333,4.33852111,6.288613e-07,537
2.935744,8.67704221,4.065862e-06,538
2.940564,17.35408443,1.137086e-05,539
2.949662,32.75160958,2.916788e-05,540
2.950000,1.21726379,4.859260e-08,541
2.950676,2.43452757,1.037001e-06,542
2.952029,4.86905514,2.095411e-06,543
2.954734,9.73811029,4.536974e-06,544
2.960144,19.47622057,9.610717e-06,545
2.966667,23.48208643,9.361815e-06,546
2.979712,46.96417286,2.656319e-05,547
2.983333,13.03582714,2.257555e-06,548
2.990575,26.07165428,9.492218e-06,549
3.000000,33.92834572,8.923694e-06,550
3.016667,60.00000000,9.251314e-06,551
3.025000,30.00000000,2.838456e-05,552
3.033333,30.00000000,2.090072e-05,553
3.044934,41.76073887,1.469919e-05,554
3.050000,18.23926113,2.756331e-06,555
3.055066,18.23926113,2.049395e-05,556
3.062189,25.64023250,2.468419e-05,557
3.066667,16.12050636,8.784391e-06,558
3.075623,32.24101273,1.929420e-05,559
3.083333,27.75898727,9.192113e-06,560
3.098755,55.51797454,4.893458e-05,561
3.100000,4.48202546,4.267774e-07,562
3.102490,8.96405092,1.396240e-06,563
3.107470,17.92810183,4.660114e-06,564
3.116667,33.10784725,1.272547e-05,565
3.120768,14.76595293,2.128549e-05,566
3.126426,20.36794053,2.511120e-05,567
3.133333,24.86610654,2.737386e-05,568
3.141735,30.24595345,4.944493e-05,569
3.149339,27.37372680,2.791458e-05,570
3.150000,2.38031975,2.660993e-07,571
3.151322,4.76063950,4.799066e-06,572
3.153967,9.52127899,9.857007e-06,573
3.159257,19.04255799,2.248740e-05,574
3.166356,25.55542632,2.851907e-05,575
3.166667,1.12009720,6.786613e-08,576
3.167289,2.24019440,2.018064e-06,577
3.168533,4.48038880,4.246172e-06,578
3.171023,8.96077760,9.832985e-06,579
3.176001,17.92155520,2.318778e-05,580
3.182580,23.68501239,2.870768e-05,581
3.183333,2.71207162,4.438373e-07,582
3.184840,5.42414323,1.901404e-06,583
3.187853,10.84828646,2.477779e-06,584
3.193880,21.69657292,4.069945e-06,585
3.200000,22.03099739,3.159362e-06,586
3.206120,22.03099739,3.731065e-05,587
3.212496,22.95330701,2.876045e-05,588
3.216667,15.01569560,1.116219e-05,589
3.220639,14.30106142,2.509814e-05,590
3.225685,18.16665605,2.452126e-05,591
3.232171,23.34700219,2.809939e-05,592
